Date,Open,High,Low,Close,Volume
17-10-2013,149,152.75,149,150.15,3169858
18-10-2013,150.45,154.95,150,152.75,1633030
21-10-2013,151.35,163,151.35,156.9,2044981
22-10-2013,157.05,164.4,156.75,159.8,2720432
23-10-2013,160.6,160.9,154.5,159,3553428
24-10-2013,158,161.7,151.1,154.9,6241761
25-10-2013,155,157.45,143.15,144.4,3766465
28-10-2013,144.65,147.9,140.85,145.1,2508923
29-10-2013,145,146.1,141.45,145.1,3491805
30-10-2013,145.75,149.5,144.85,146.45,1799363
31-10-2013,146.5,146.9,142.6,145.5,1905129
01-11-2013,145.5,147,143.8,144.85,2084157
03-11-2013,144.5,146.3,143.65,144.55,161874
05-11-2013,143,155.5,140.6,151.85,6256796
06-11-2013,152,156.6,150,150.9,2318436
07-11-2013,151.1,155.9,147,148.3,1625414
08-11-2013,147.95,152.9,146.6,148.4,1605475
11-11-2013,149.3,152.3,147.85,149.9,2734419
12-11-2013,150.25,152.8,145,146.2,1070011
13-11-2013,146.5,147.5,144,145.25,1387266
14-11-2013,144,155.55,144,152.8,3581094
18-11-2013,153.7,157.9,153.45,154.8,3407642
19-11-2013,154.05,157.95,153.6,154.6,2106533
20-11-2013,155,160.95,154.5,156.3,2698124
21-11-2013,154.6,158.65,149.8,152.05,2137637
22-11-2013,153.8,155.9,151.05,152.7,1257846
25-11-2013,153.1,162,153.1,161.25,4082301
26-11-2013,160.1,162.4,156.3,158.05,1910831
27-11-2013,158.9,158.9,150.7,151.7,1401835
28-11-2013,153.8,159.45,153.25,157.05,3487149
29-11-2013,157.85,162.05,156.45,157.95,2648844
02-12-2013,158.55,161.25,157.3,159.7,2244372
03-12-2013,159.55,161.9,156.65,158.1,1900138
04-12-2013,157.6,161.65,152.4,154.45,3191123
05-12-2013,159.9,162.25,158.25,160.4,6219677
06-12-2013,159.6,165.35,158.4,163.3,3596446
09-12-2013,168,169.15,164,164.85,3404813
10-12-2013,164.85,164.85,158.75,159.95,1777162
11-12-2013,159.9,159.9,155.6,156.95,1147763
12-12-2013,156.2,158.25,153,154.2,986715
13-12-2013,153,155.7,151.1,152,1293806
16-12-2013,150.5,157.3,150.5,156.35,1748287
17-12-2013,157.45,159.75,156.55,157.55,1182370
18-12-2013,156.3,160.2,156.3,158.3,2880051
19-12-2013,160,168.45,156.3,167.2,2524728
20-12-2013,167,168,161.6,163.2,1737990
23-12-2013,164,165.6,161.5,161.95,1846021
24-12-2013,163.2,164.5,158.6,159.3,750508
26-12-2013,160,164.3,158.9,159.95,2433227
27-12-2013,160.7,163.5,159.55,160,534707
30-12-2013,161.35,161.65,156.3,157.05,1300968
31-12-2013,157.2,158.75,154.65,155.4,983269
01-01-2014,154.55,157.75,154.55,156.3,851727
02-01-2014,155.7,159.4,151.1,152.65,2862278
03-01-2014,151.5,153.85,147.5,149.9,1636752
06-01-2014,150.5,152.5,149,150.85,750034
07-01-2014,150.85,152.2,145.3,145.95,1069056
08-01-2014,147.1,152.2,144.4,150.75,1195550
09-01-2014,149.45,153.2,148.55,149.55,1377312
10-01-2014,150.3,152,147.7,148.3,820545
13-01-2014,148.5,149.95,142.2,143.75,1444514
14-01-2014,143,149.7,142,147.05,2065518
15-01-2014,147.1,150.9,147.1,150.1,1073586
16-01-2014,149.1,152.45,149.1,150.8,1193550
17-01-2014,150.2,151.6,145.1,148.65,1122874
20-01-2014,149.1,152.5,148.75,150.95,1223239
21-01-2014,151,151.45,146.15,147.65,1112972
22-01-2014,147.65,149.6,146.65,147.9,732908
23-01-2014,147.2,149.6,147.2,148.3,1518047
24-01-2014,147.5,149.2,143.15,145,4192128
27-01-2014,143.55,147.4,141.25,143.95,2467215
28-01-2014,143.6,146.4,141.05,142,1453706
29-01-2014,144,147.8,143.35,146.65,1503702
30-01-2014,144.7,146.35,141,141.65,1530051
31-01-2014,143,147.55,142.3,146.95,765126
03-02-2014,146.4,146.65,143.4,143.95,520680
04-02-2014,142.5,148.5,141.95,146.9,787885
05-02-2014,146.9,148.5,144.5,145.7,2446824
06-02-2014,148,148.85,145.7,146.4,720689
07-02-2014,147.5,152.5,146.7,147.5,6366201
10-02-2014,147.25,149.1,146.7,148.05,1981260
11-02-2014,149.9,150,147.55,148.25,2114388
12-02-2014,149,149.2,144.35,146.05,835543
13-02-2014,146.1,147.25,143.5,144.15,734478
14-02-2014,143.35,148.4,143.35,147.05,919174
17-02-2014,148.4,152,146.2,151.2,647048
18-02-2014,152,160.4,151.45,159.65,3306662
19-02-2014,160,165,158.5,164.1,2624162
20-02-2014,161.05,167.5,160.15,164.8,2344760
21-02-2014,166.4,168.4,162.55,167.25,2288323
24-02-2014,167,170.7,163.35,164.5,2124447
25-02-2014,164.85,166.6,158.05,159,1682365
26-02-2014,160,161.7,154.85,160.75,1778597
28-02-2014,160.6,169.8,160.15,167.25,2464976
03-03-2014,168,173.8,167.4,171.65,1937906
04-03-2014,172.3,176.8,171.1,175.45,2792682
05-03-2014,176.2,178.65,175.05,176.9,2423656
06-03-2014,177.25,179.7,175.75,179.15,1618425
07-03-2014,179.7,189.7,176.55,186.9,4517490
10-03-2014,185.95,190.75,182.3,187.85,2522084
11-03-2014,188.1,188.5,183.65,184.6,1741685
12-03-2014,183.25,186.35,182.05,183.65,1067157
13-03-2014,183.65,185.7,177.9,179.2,923751
14-03-2014,177,185.35,175.2,183.2,1715374
18-03-2014,183.5,189.8,183.5,188.75,3061068
19-03-2014,189.95,189.95,184.3,185.2,1385598
20-03-2014,184.05,186.9,180.75,181.6,1230749
21-03-2014,183,184.4,179.8,181.7,1492705
22-03-2014,182.95,182.95,181,181.6,84234
24-03-2014,182,182.9,174.6,178.5,1389494
25-03-2014,179,182.2,177,179.9,1468660
26-03-2014,180.55,183,177.8,178.8,1836011
27-03-2014,178.5,180.55,177.8,179.75,1595618
28-03-2014,179.35,188.1,179.35,186.15,5268789
31-03-2014,187.4,192.8,185.75,187.45,3889451
01-04-2014,188.7,189.4,184.3,186.3,1143086
02-04-2014,187.9,189.7,175.15,186,2072685
03-04-2014,186.05,187.8,179.1,181.3,2074961
04-04-2014,182,183.4,178.35,179.85,2928018
07-04-2014,180.25,182.8,175.5,177,2230925
09-04-2014,178.8,184.2,176.9,183.45,3813131
10-04-2014,183.35,204.4,183.35,193,15336233
11-04-2014,193.5,200.6,188.15,193.65,8768812
15-04-2014,195,195.3,185.3,187,4579077
16-04-2014,187.6,198.35,187.05,194.1,7878787
17-04-2014,195.35,203.4,195.3,198.4,6192143
21-04-2014,199.9,209.5,198.9,204,7284821
22-04-2014,205.6,208.9,202.15,204.8,3848936
23-04-2014,208,213.05,203.35,204.45,7702502
25-04-2014,205,206.7,197.25,198.7,5808334
28-04-2014,199.4,199.65,189.4,192.15,6111039
29-04-2014,193.7,196.5,190.55,191.55,4973177
30-04-2014,192.05,194.45,174.6,188.2,5884524
02-05-2014,190,192.4,184,185.85,5328258
05-05-2014,187,190.4,182.5,186.05,3462920
06-05-2014,187.3,193.9,186.6,192.5,3079280
07-05-2014,193.5,196.15,187.35,189.5,4398923
08-05-2014,190.05,191.6,185.05,190.2,4955646
09-05-2014,191.1,208.65,189.1,204.7,8272339
12-05-2014,206.5,209.5,200.1,204.6,4820292
13-05-2014,210.05,227.7,210,224.5,21252250
14-05-2014,227,229.35,215.55,217.05,11619778
15-05-2014,219.5,227.2,215.55,220.4,13153383
16-05-2014,235,235,219.05,225,16816546
19-05-2014,228,232.5,225.6,231.65,8324363
20-05-2014,233.95,244.7,231.55,235.8,7962251
21-05-2014,237.4,237.4,212.25,225.65,5478596
22-05-2014,227.5,230.55,224,225.05,4449033
23-05-2014,224,229,223.25,227.7,3328418
26-05-2014,229.5,235.95,211.1,223.25,6471305
27-05-2014,221.05,223,211.65,214.45,4048066
28-05-2014,214.1,222.7,214.1,220.4,2455740
29-05-2014,220,221.1,211.1,211.9,3058419
30-05-2014,212,232,212,227.5,11195546
